,Algoritmo,Métrica,Valor
398,RedeNeural,RMSE,273084.5133372492
399,RedeNeural,RMSE,1009401.6856540929
400,RedeNeural,RMSE,1009403.725797828
401,RedeNeural,RMSE,1009408.0986527351
402,RedeNeural,RMSE,1009539.8808092109
403,RedeNeural,RMSE,1009535.1754699786
404,RedeNeural,RMSE,1009520.0086523908
405,RedeNeural,RMSE,778798.0338918582
406,RedeNeural,RMSE,778881.2925701896
407,RedeNeural,RMSE,778642.3008801745
408,RedeNeural,RMSE,1008904.6422759412
409,RedeNeural,RMSE,1008904.5605228887
410,RedeNeural,RMSE,1008903.6532363242
411,RedeNeural,RMSE,1008885.5752261764
412,RedeNeural,RMSE,1008888.1464128185
413,RedeNeural,RMSE,1008892.2381622039
414,RedeNeural,RMSE,603787.7218274727
415,RedeNeural,RMSE,602922.3584714876
416,RedeNeural,RMSE,601621.6865896245
417,RedeNeural,RMSE,1008106.199868502
418,RedeNeural,RMSE,1008105.013334021
419,RedeNeural,RMSE,1008105.3843045479
420,RedeNeural,RMSE,1008083.9098275596
421,RedeNeural,RMSE,1008086.1967847854
422,RedeNeural,RMSE,1008080.5327781902
423,RedeNeural,RMSE,409409.65318837226
424,RedeNeural,RMSE,408940.9632771781
425,RedeNeural,RMSE,410208.9694458723
426,RedeNeural,RMSE,1006517.9248078547
427,RedeNeural,RMSE,1006500.5854040296
428,RedeNeural,RMSE,1006509.8940644894
429,RedeNeural,RMSE,1006475.9915173431
430,RedeNeural,RMSE,1006478.1482058595
431,RedeNeural,RMSE,1006469.0410770385
432,RedeNeural,RMSE,276502.0306487935
433,RedeNeural,RMSE,278697.0927624911
434,RedeNeural,RMSE,285701.84071786184
435,RedeNeural,RMSE,1008916.7334855704
436,RedeNeural,RMSE,1008920.9106328274
437,RedeNeural,RMSE,1008929.6792429618
438,RedeNeural,RMSE,1008975.8823272879
439,RedeNeural,RMSE,1009069.2848409582
440,RedeNeural,RMSE,1009183.1543351369
441,RedeNeural,RMSE,268281.62114747777
442,RedeNeural,RMSE,271051.79513032263
443,RedeNeural,RMSE,272055.63969931356
444,RedeNeural,RMSE,1008134.2173650825
445,RedeNeural,RMSE,1008139.2818274536
446,RedeNeural,RMSE,1008158.038271609
447,RedeNeural,RMSE,1008693.5485171292
448,RedeNeural,RMSE,1008176.6986038993
449,RedeNeural,RMSE,1008859.826568589
450,RedeNeural,RMSE,265244.0144505562
451,RedeNeural,RMSE,265297.41751764587
452,RedeNeural,RMSE,267407.8846810961
453,RedeNeural,RMSE,1006564.1817718582
454,RedeNeural,RMSE,1006576.8445105847
455,RedeNeural,RMSE,1006618.8147138512
456,RedeNeural,RMSE,1007886.6559134
457,RedeNeural,RMSE,1008107.882126523
458,RedeNeural,RMSE,1008081.2823734186
459,RedeNeural,RMSE,267279.5632586522
460,RedeNeural,RMSE,271356.1238370093
461,RedeNeural,RMSE,286843.9170953483
462,RedeNeural,RMSE,1008918.1130743008
463,RedeNeural,RMSE,1008921.4305074199
464,RedeNeural,RMSE,1008930.519922466
465,RedeNeural,RMSE,1009255.0800661183
466,RedeNeural,RMSE,1009108.8091350305
467,RedeNeural,RMSE,1009145.4514807401
468,RedeNeural,RMSE,263560.9417632407
469,RedeNeural,RMSE,266041.38234885817
470,RedeNeural,RMSE,274103.5172138404
471,RedeNeural,RMSE,1008131.1394668479
472,RedeNeural,RMSE,1008142.9561213577
473,RedeNeural,RMSE,1008168.3482336239
474,RedeNeural,RMSE,1008863.2247863294
475,RedeNeural,RMSE,1008870.1538842078
476,RedeNeural,RMSE,1008641.2393796257
477,RedeNeural,RMSE,260443.79109580582
478,RedeNeural,RMSE,263454.8514190593
479,RedeNeural,RMSE,266810.9641510065
480,RedeNeural,RMSE,1006567.5958536108
481,RedeNeural,RMSE,1006577.2604378383
482,RedeNeural,RMSE,1006621.1601575479
483,RedeNeural,RMSE,1008056.512390172
484,RedeNeural,RMSE,1008185.798268925
485,RedeNeural,RMSE,1007800.5079840533
486,RedeNeural,R2,-1.8604646257370225
487,RedeNeural,R2,-1.8604294583573249
488,RedeNeural,R2,-1.8604432755541014
489,RedeNeural,R2,-1.8604721472363228
490,RedeNeural,R2,-1.86047289095095
491,RedeNeural,R2,-1.8604726201272488
492,RedeNeural,R2,-1.8604947998839
493,RedeNeural,R2,-1.8604949441436864
494,RedeNeural,R2,-1.8604907427817787
495,RedeNeural,R2,-1.8603519851136583
496,RedeNeural,R2,-1.8603878617740972
497,RedeNeural,R2,-1.860386849982294
498,RedeNeural,R2,-1.860418595656295
499,RedeNeural,R2,-1.8604176762417812
500,RedeNeural,R2,-1.8604262197595518
501,RedeNeural,R2,-1.8604565854555486
502,RedeNeural,R2,-1.8604538900680305
503,RedeNeural,R2,-1.8604638666208801
504,RedeNeural,R2,-1.8601460629340392
505,RedeNeural,R2,-1.8601674068961023
506,RedeNeural,R2,-1.8601325644522229
507,RedeNeural,R2,-1.8603195402532884
508,RedeNeural,R2,-1.860315435522382
509,RedeNeural,R2,-1.8603144517261079
510,RedeNeural,R2,-1.8604086252710275
511,RedeNeural,R2,-1.8603807094647888
512,RedeNeural,R2,-1.860379007422846
513,RedeNeural,R2,-1.8592034591964217
514,RedeNeural,R2,-1.8588797332433824
515,RedeNeural,R2,-1.859386918931003
516,RedeNeural,R2,-1.860452831827458
517,RedeNeural,R2,-1.860448650499042
518,RedeNeural,R2,-1.8604530887766693
519,RedeNeural,R2,-1.8604972078951176
520,RedeNeural,R2,-1.860492920195234
521,RedeNeural,R2,-1.8604980940379208
522,RedeNeural,R2,-1.8531147951548985
523,RedeNeural,R2,-1.856187773777525
524,RedeNeural,R2,-1.8540577353785856
525,RedeNeural,R2,-1.860390029989793
526,RedeNeural,R2,-1.8603903409557154
527,RedeNeural,R2,-1.860394298685304
528,RedeNeural,R2,-1.860444393548605
529,RedeNeural,R2,-1.8604595686430687
530,RedeNeural,R2,-1.8604542589426734
531,RedeNeural,R2,-1.8330813957702463
532,RedeNeural,R2,-1.8338465700762452
533,RedeNeural,R2,-1.8346253836657214
534,RedeNeural,R2,-1.860273381062655
535,RedeNeural,R2,-1.8602815802529111
536,RedeNeural,R2,-1.8602839676380416
537,RedeNeural,R2,-1.8603818178071037
538,RedeNeural,R2,-1.860363728503179
539,RedeNeural,R2,-1.8603908747046893
540,RedeNeural,R2,-1.8247590509194231
541,RedeNeural,R2,-1.8299497290231623
542,RedeNeural,R2,-1.8361198809824422
543,RedeNeural,R2,-1.8604487079988292
544,RedeNeural,R2,-1.860447951123275
545,RedeNeural,R2,-1.8604564678427313
546,RedeNeural,R2,-1.8604840088446815
547,RedeNeural,R2,-1.8604825575963897
548,RedeNeural,R2,-1.8604877401931388
549,RedeNeural,R2,-1.6227247556411628
550,RedeNeural,R2,-1.56286601688564
551,RedeNeural,R2,-1.6412272771110583
552,RedeNeural,R2,-1.8603931080121585
553,RedeNeural,R2,-1.8603984688093362
554,RedeNeural,R2,-1.8603959316246614
555,RedeNeural,R2,-1.8604536603078028
556,RedeNeural,R2,-1.860449774435435
557,RedeNeural,R2,-1.860467844924353
558,RedeNeural,R2,-0.3586547545486094
559,RedeNeural,R2,-0.21076383930211007
560,RedeNeural,R2,-0.3196234468010124
561,RedeNeural,R2,-1.8602818572225948
562,RedeNeural,R2,-1.860283597703035
563,RedeNeural,R2,-1.8602858243090687
564,RedeNeural,R2,-1.8603819090953895
565,RedeNeural,R2,-1.8603864035260158
566,RedeNeural,R2,-1.8603992273768428
567,RedeNeural,R2,-1.8499225286837881
568,RedeNeural,R2,-1.8501061484072272
569,RedeNeural,R2,-1.8488585420616324
570,RedeNeural,R2,-1.860012077728574
571,RedeNeural,R2,-1.8600083351244958
572,RedeNeural,R2,-1.8600090533879716
573,RedeNeural,R2,-1.8600266719462888
574,RedeNeural,R2,-1.8600223605335926
575,RedeNeural,R2,-1.8600364010099173
576,RedeNeural,R2,-1.839774203948751
577,RedeNeural,R2,-1.8375933348204914
578,RedeNeural,R2,-1.8393649571553778
579,RedeNeural,R2,-1.8595162617380643
580,RedeNeural,R2,-1.8595212776048942
581,RedeNeural,R2,-1.8595207858514815
582,RedeNeural,R2,-1.8595317071550572
583,RedeNeural,R2,-1.8595386300673926
584,RedeNeural,R2,-1.8595352676719354
585,RedeNeural,R2,-1.815889773846664
586,RedeNeural,R2,-1.8174138038742522
587,RedeNeural,R2,-1.8163691015789043
588,RedeNeural,R2,-1.8585427844233493
589,RedeNeural,R2,-1.8585382816447313
590,RedeNeural,R2,-1.8585386134820974
591,RedeNeural,R2,-1.8585629484761923
592,RedeNeural,R2,-1.8585615850473385
593,RedeNeural,R2,-1.8585593340808266
594,RedeNeural,R2,-0.5323376100798594
595,RedeNeural,R2,-0.7413986188518287
596,RedeNeural,R2,-0.483613587486055
597,RedeNeural,R2,-1.8600361186791274
598,RedeNeural,R2,-1.8600399074588432
599,RedeNeural,R2,-1.860043234302999
600,RedeNeural,R2,-1.8601591760422114
601,RedeNeural,R2,-1.8601515463084346
602,RedeNeural,R2,-1.8601479748549767
603,RedeNeural,R2,0.48786496964881476
604,RedeNeural,R2,0.5873677643193028
605,RedeNeural,R2,0.5534985738680414
606,RedeNeural,R2,-1.8595709298130143
607,RedeNeural,R2,-1.8595762070554978
608,RedeNeural,R2,-1.8595953148564548
609,RedeNeural,R2,-1.8597562929337763
610,RedeNeural,R2,-1.8598630490985157
611,RedeNeural,R2,-1.85983264402316
612,RedeNeural,R2,0.7024701739576609
613,RedeNeural,R2,0.7018150971861608
614,RedeNeural,R2,0.678220262467556
615,RedeNeural,R2,-1.8586590584721487
616,RedeNeural,R2,-1.8586837874881899
617,RedeNeural,R2,-1.858689764651976
618,RedeNeural,R2,-1.859326860468871
619,RedeNeural,R2,-1.8593911969155865
620,RedeNeural,R2,-1.8592536194875704
621,RedeNeural,R2,0.7637763219094835
622,RedeNeural,R2,0.7461808394574521
623,RedeNeural,R2,0.726708622782891
624,RedeNeural,R2,-1.8600373217764883
625,RedeNeural,R2,-1.8600424822431423
626,RedeNeural,R2,-1.8600456938694858
627,RedeNeural,R2,-1.8601899875811516
628,RedeNeural,R2,-1.860148336489274
629,RedeNeural,R2,-1.8601807569258977
630,RedeNeural,R2,0.7841378417141118
631,RedeNeural,R2,0.7831018946513594
632,RedeNeural,R2,0.7689171329043725
633,RedeNeural,R2,-1.85957505704555
634,RedeNeural,R2,-1.8595839734370814
635,RedeNeural,R2,-1.8595985614912212
636,RedeNeural,R2,-1.8598479706347515
637,RedeNeural,R2,-1.8598245425095583
638,RedeNeural,R2,-1.8598683387276038
639,RedeNeural,R2,0.7960667069880025
640,RedeNeural,R2,0.793660848246923
641,RedeNeural,R2,0.7907667953950404
642,RedeNeural,R2,-1.8586732262124501
643,RedeNeural,R2,-1.8586847817908678
644,RedeNeural,R2,-1.858709550157644
645,RedeNeural,R2,-1.85945603020143
646,RedeNeural,R2,-1.8594293751290696
647,RedeNeural,R2,-1.8593434581268347
648,RedeNeural,R2,-0.7017123698318029
649,RedeNeural,R2,-0.7020762379722878
650,RedeNeural,R2,-0.7010318691523267
651,RedeNeural,R2,-1.8558586187356756
652,RedeNeural,R2,-1.8558581559067018
653,RedeNeural,R2,-1.8558530194831562
654,RedeNeural,R2,-1.8557506753650577
655,RedeNeural,R2,-1.8557652313811746
656,RedeNeural,R2,-1.85578839569204
657,RedeNeural,R2,-0.022833673771452068
658,RedeNeural,R2,-0.019903874245073006
659,RedeNeural,R2,-0.015508185837329602
660,RedeNeural,R2,-1.8513401811148067
661,RedeNeural,R2,-1.8513334691008314
662,RedeNeural,R2,-1.8513355676141017
663,RedeNeural,R2,-1.8512140916477575
664,RedeNeural,R2,-1.8512270282932133
665,RedeNeural,R2,-1.8511949887248194
666,RedeNeural,R2,0.5297242121998534
667,RedeNeural,R2,0.530800334130132
668,RedeNeural,R2,0.5278861215466564
669,RedeNeural,R2,-1.8423626646626738
670,RedeNeural,R2,-1.842264734067844
671,RedeNeural,R2,-1.842317307906503
672,RedeNeural,R2,-1.8421258340338387
673,RedeNeural,R2,-1.8421380143277903
674,RedeNeural,R2,-1.8420865803250446
675,RedeNeural,R2,0.7854971271233799
676,RedeNeural,R2,0.7820778677306357
677,RedeNeural,R2,0.770985732378878
678,RedeNeural,R2,-1.855927071175481
679,RedeNeural,R2,-1.855950719613913
680,RedeNeural,R2,-1.856000362409465
681,RedeNeural,R2,-1.8562619446578652
682,RedeNeural,R2,-1.8567907866217328
683,RedeNeural,R2,-1.8574355781761298
684,RedeNeural,R2,0.7980618808858876
685,RedeNeural,R2,0.7938700781350735
686,RedeNeural,R2,0.7923404400623906
687,RedeNeural,R2,-1.851498673392522
688,RedeNeural,R2,-1.8515273230380904
689,RedeNeural,R2,-1.8516334294293326
690,RedeNeural,R2,-1.8546636775341963
691,RedeNeural,R2,-1.8517389940686186
692,RedeNeural,R2,-1.8556049089674276
693,RedeNeural,R2,0.8026088635282822
694,RedeNeural,R2,0.8025293717946458
695,RedeNeural,R2,0.7993750784344975
696,RedeNeural,R2,-1.8426239259585597
697,RedeNeural,R2,-1.8426954477375728
698,RedeNeural,R2,-1.8429325105982168
699,RedeNeural,R2,-1.8500983946111975
700,RedeNeural,R2,-1.8513496973619898
701,RedeNeural,R2,-1.851199228947468
702,RedeNeural,R2,0.7995675805989247
703,RedeNeural,R2,0.7934069454790361
704,RedeNeural,R2,0.7691511305893253
705,RedeNeural,R2,-1.8559348815474679
706,RedeNeural,R2,-1.8559536628309345
707,RedeNeural,R2,-1.8560051218729208
708,RedeNeural,R2,-1.8578428986228768
709,RedeNeural,R2,-1.857014586616819
710,RedeNeural,R2,-1.8572220758705473
711,RedeNeural,R2,0.8051059573041538
712,RedeNeural,R2,0.801420298113583
713,RedeNeural,R2,0.7892023915024109
714,RedeNeural,R2,-1.8514812618035013
715,RedeNeural,R2,-1.8515481085956864
716,RedeNeural,R2,-1.8516917543775113
717,RedeNeural,R2,-1.855624146493493
718,RedeNeural,R2,-1.8556633727566356
719,RedeNeural,R2,-1.854367609172932
720,RedeNeural,R2,0.8096887421346111
721,RedeNeural,R2,0.805262825879083
722,RedeNeural,R2,0.8002697676161743
723,RedeNeural,R2,-1.8426432093129832
724,RedeNeural,R2,-1.8426977969963723
725,RedeNeural,R2,-1.842945758802617
726,RedeNeural,R2,-1.851059114671565
727,RedeNeural,R2,-1.8517904731133785
728,RedeNeural,R2,-1.8496111978009373
729,RedeNeural,MAPE,99.99758978482568
730,RedeNeural,MAPE,99.99651274860425
731,RedeNeural,MAPE,99.99680765124526
732,RedeNeural,MAPE,99.99767302913148
733,RedeNeural,MAPE,99.99771604559542
734,RedeNeural,MAPE,99.99770644709044
735,RedeNeural,MAPE,99.9984352352502
736,RedeNeural,MAPE,99.99845104699578
737,RedeNeural,MAPE,99.9982964863616
738,RedeNeural,MAPE,99.99401876773291
739,RedeNeural,MAPE,99.99520454465895
740,RedeNeural,MAPE,99.99524698291191
741,RedeNeural,MAPE,99.99563676675929
742,RedeNeural,MAPE,99.99557251568157
743,RedeNeural,MAPE,99.99595712722183
744,RedeNeural,MAPE,99.99695210046774
745,RedeNeural,MAPE,99.99680778167294
746,RedeNeural,MAPE,99.9972437828315
747,RedeNeural,MAPE,99.98772607664692
748,RedeNeural,MAPE,99.9884668929387
749,RedeNeural,MAPE,99.98725309807921
750,RedeNeural,MAPE,99.99184342808181
751,RedeNeural,MAPE,99.99167940605867
752,RedeNeural,MAPE,99.9916240393489
753,RedeNeural,MAPE,99.9950365130148
754,RedeNeural,MAPE,99.99396176315538
755,RedeNeural,MAPE,99.99393196039185
756,RedeNeural,MAPE,99.95716103816792
757,RedeNeural,MAPE,99.94384047925197
758,RedeNeural,MAPE,99.96433705406128
759,RedeNeural,MAPE,99.99651829315411
760,RedeNeural,MAPE,99.99633939865605
761,RedeNeural,MAPE,99.9965296732438
762,RedeNeural,MAPE,99.99841312859
763,RedeNeural,MAPE,99.9982301527281
764,RedeNeural,MAPE,99.99845132970655
765,RedeNeural,MAPE,99.76934639314935
766,RedeNeural,MAPE,99.85974709137652
767,RedeNeural,MAPE,99.78935337460629
768,RedeNeural,MAPE,99.99383372132662
769,RedeNeural,MAPE,99.99384708723463
770,RedeNeural,MAPE,99.99401609352796
771,RedeNeural,MAPE,99.99615579180501
772,RedeNeural,MAPE,99.99680451628596
773,RedeNeural,MAPE,99.99657747144533
774,RedeNeural,MAPE,99.12098914431981
775,RedeNeural,MAPE,99.16360170827743
776,RedeNeural,MAPE,99.17380115262485
777,RedeNeural,MAPE,99.98885235434477
778,RedeNeural,MAPE,99.9892022258751
779,RedeNeural,MAPE,99.98930424726812
780,RedeNeural,MAPE,99.99348303689844
781,RedeNeural,MAPE,99.99271024487103
782,RedeNeural,MAPE,99.99386930057486
783,RedeNeural,MAPE,98.82290062968663
784,RedeNeural,MAPE,99.00218314400462
785,RedeNeural,MAPE,99.19950374008623
786,RedeNeural,MAPE,99.99633696609942
787,RedeNeural,MAPE,99.99630477753684
788,RedeNeural,MAPE,99.99666818402424
789,RedeNeural,MAPE,99.99784440539024
790,RedeNeural,MAPE,99.99778224750081
791,RedeNeural,MAPE,99.99800354988608
792,RedeNeural,MAPE,92.20201718403248
793,RedeNeural,MAPE,90.12519792152766
794,RedeNeural,MAPE,92.78524183708079
795,RedeNeural,MAPE,99.99396277518099
796,RedeNeural,MAPE,99.99419167721084
