,Algoritmo,Métrica,Valor
445,RedeNeural,RMSE,7078.135278241412
446,RedeNeural,RMSE,7087.338502792593
447,RedeNeural,RMSE,7316.576455011629
448,RedeNeural,RMSE,7268.894632945106
449,RedeNeural,RMSE,7295.718091888875
450,RedeNeural,RMSE,2661.816139777918
451,RedeNeural,RMSE,2660.6356289611704
452,RedeNeural,RMSE,2694.0599993918477
453,RedeNeural,RMSE,6566.232292031933
454,RedeNeural,RMSE,6571.064511204078
455,RedeNeural,RMSE,6589.544016440015
456,RedeNeural,RMSE,7031.418478232767
457,RedeNeural,RMSE,7028.631230050727
458,RedeNeural,RMSE,7043.685905068384
459,RedeNeural,RMSE,2723.9349649161604
460,RedeNeural,RMSE,2691.0665154406356
461,RedeNeural,RMSE,2788.512408145698
462,RedeNeural,RMSE,7366.739710767867
463,RedeNeural,RMSE,7361.793311246644
464,RedeNeural,RMSE,7373.924302381637
465,RedeNeural,RMSE,7408.826627292593
466,RedeNeural,RMSE,7452.114799034347
467,RedeNeural,RMSE,7460.6584671383
468,RedeNeural,RMSE,2603.5804846677174
469,RedeNeural,RMSE,2518.8655756436524
470,RedeNeural,RMSE,2697.2174473801224
471,RedeNeural,RMSE,7076.57218572235
472,RedeNeural,RMSE,7076.2771519515345
473,RedeNeural,RMSE,7089.014194436684
474,RedeNeural,RMSE,7299.603889070817
475,RedeNeural,RMSE,7356.2363702241655
476,RedeNeural,RMSE,7297.694761040233
477,RedeNeural,RMSE,2339.1129716450387
478,RedeNeural,RMSE,2471.7069238891486
479,RedeNeural,RMSE,2443.260016976985
480,RedeNeural,RMSE,6563.116898509982
481,RedeNeural,RMSE,6567.92486914641
482,RedeNeural,RMSE,6589.857888565595
483,RedeNeural,RMSE,7033.105379868218
484,RedeNeural,RMSE,7050.4533796939995
485,RedeNeural,RMSE,7103.901988988243
486,RedeNeural,R2,-1.1436183521788696
487,RedeNeural,R2,-1.1442691130332108
488,RedeNeural,R2,-1.1447260823120518
489,RedeNeural,R2,-1.1449983100857102
490,RedeNeural,R2,-1.1449331309825714
491,RedeNeural,R2,-1.1447073757307438
492,RedeNeural,R2,-1.1458852597812936
493,RedeNeural,R2,-1.146051970208632
494,RedeNeural,R2,-1.1456127498190467
495,RedeNeural,R2,-1.142952334329241
496,RedeNeural,R2,-1.1420566715930431
497,RedeNeural,R2,-1.1426807964904437
498,RedeNeural,R2,-1.1429733114186105
499,RedeNeural,R2,-1.1430519895290425
500,RedeNeural,R2,-1.1428424539874174
501,RedeNeural,R2,-1.144020793993597
502,RedeNeural,R2,-1.144127474223716
503,RedeNeural,R2,-1.1444420984068602
504,RedeNeural,R2,-1.1379233791081642
505,RedeNeural,R2,-1.1394976012093658
506,RedeNeural,R2,-1.1393140830634216
507,RedeNeural,R2,-1.1400282835998232
508,RedeNeural,R2,-1.1401066293934097
509,RedeNeural,R2,-1.139519294808002
510,RedeNeural,R2,-1.1420935709123978
511,RedeNeural,R2,-1.1423155651359056
512,RedeNeural,R2,-1.1417965941144552
513,RedeNeural,R2,-1.1386653895962864
514,RedeNeural,R2,-1.1379288769275906
515,RedeNeural,R2,-1.1361692044675378
516,RedeNeural,R2,-1.1433419903784516
517,RedeNeural,R2,-1.1432021693366496
518,RedeNeural,R2,-1.1437456820455254
519,RedeNeural,R2,-1.145071871651532
520,RedeNeural,R2,-1.1451856629922785
521,RedeNeural,R2,-1.1441467055882377
522,RedeNeural,R2,-1.078204947659572
523,RedeNeural,R2,-1.0812949557888194
524,RedeNeural,R2,-1.091047567470096
525,RedeNeural,R2,-1.1400153497174537
526,RedeNeural,R2,-1.1402863996283226
527,RedeNeural,R2,-1.139710855248016
528,RedeNeural,R2,-1.1423436095593407
529,RedeNeural,R2,-1.1429187527649933
530,RedeNeural,R2,-1.1433814891923424
531,RedeNeural,R2,-0.922817908800674
